jvm	0.75 0.11111111111111116 0.0 0.0 0.5714285714285714
pre	0.125 0.0 0.0 0.0 0.0
splits	0.6875 0.0 0.0 0.0 0.0
highlighted	1.0 0.0 1.0 1.0 0.8571428571428572
multiple	0.5 0.0 0.0 0.0 0.0
accross	0.625 0.0 0.0 0.0 0.0
sense	0.1875 0.7777777777777778 0.0 0.0 0.0
single	0.375 0.0 0.0 0.0 0.0
number	0.875 1.0 0.0 0.0 1.0
gutter	0.0625 0.6666666666666667 0.0 0.0 0.0
selection	0.8125 0.4444444444444444 0.0 0.0 0.0
guess	0.25 0.5555555555555556 0.0 0.0 0.1428571428571429
text	0.3125 0.8888888888888888 0.0 0.0 0.4285714285714286
lines	0.4375 0.2222222222222222 0.0 0.0 0.0
selected	0.9375 0.0 0.5 0.5 0.7142857142857143
beta	0.5625 0.33333333333333337 0.0 0.0 0.2857142857142857
