quick	0.11111111111111116 0.0 0.9090909090909091 0.0 0.0
code	0.9777777777777777 0.0 0.0 0.0 0.0
Similarity	0.7555555555555555 0.5862068965517242 0.0 0.0 0.0
maxSimilaritiesPerRow	0.3555555555555555 0.5517241379310345 0.0 0.0 0.125
Argument	0.2222222222222222 0.8275862068965517 0.0 0.0 0.375
save	0.9111111111111111 0.0 0.0 0.0 0.0
checkArgument	0.9333333333333333 0.896551724137931 0.0 0.19999999999999996 0.75
RowSimilarityJob	0.7777777777777778 0.48275862068965514 0.0 0.0 0.0
source	0.7333333333333334 0.7241379310344828 0.0 0.0 0.0
error	0.8666666666666667 0.8620689655172413 1.0 1.0 0.0
number	0.5555555555555556 0.13793103448275867 0.0 0.0 0.0
incomplete	0.6 0.0 0.0 0.0 0.0
negative	0.4666666666666667 0.0 0.0 0.0 0.0
trivial	0.4444444444444444 0.0 0.0 0.0 0.0
parameter	0.3111111111111111 0.4137931034482759 0.0 0.0 0.0
row	0.2666666666666667 0.0 0.8181818181818181 0.0 0.0
Clarify	0.0888888888888889 0.0 0.0 0.0 0.625
Job	0.06666666666666665 0.7586206896551724 0.0 0.0 0.0
case	0.6888888888888889 0.3793103448275862 0.0 0.0 0.0
Similarities	0.33333333333333337 0.06896551724137934 0.7272727272727273 0.0 0.0
actual	0.022222222222222254 0.0 0.0 0.0 0.0
cases	0.0444444444444444 0.6551724137931034 0.0 0.0 0.0
issue	1.0 0.6206896551724138 0.18181818181818177 0.8 0.0
incorrect	0.5111111111111111 0.0 0.09090909090909094 0.4 0.0
max	0.37777777777777777 0.24137931034482762 0.6363636363636364 0.0 0.0
grep	0.8222222222222222 0.03448275862068961 0.0 0.0 0.0
change	0.24444444444444446 0.27586206896551724 0.0 0.0 0.0
realized	0.7111111111111111 0.0 0.0 0.0 0.0
check	0.8888888888888888 0.9310344827586207 0.0 0.0 0.5
message	0.15555555555555556 0.4482758620689655 0.0 0.0 0.0
easy	0.4 0.0 0.5454545454545454 0.0 0.0
relevant	0.1777777777777778 0.0 0.0 0.0 0.0
similarities	0.48888888888888893 0.31034482758620685 0.4545454545454546 0.0 0.0
form	0.6666666666666667 0.3448275862068966 0.0 0.0 0.0
Incorrect	0.5333333333333333 0.0 0.0 0.0 0.0
Preconditions	0.6444444444444444 1.0 0.0 0.6 0.875
true	0.4222222222222223 0.0 0.0 0.0 0.0
messages	0.8 0.10344827586206895 0.0 0.0 1.0
maximum	0.5777777777777777 0.2068965517241379 0.36363636363636365 0.0 0.0
folks	0.19999999999999996 0.6896551724137931 0.0 0.0 0.0
Row	0.9555555555555556 0.9655172413793104 0.2727272727272727 0.0 0.0
time	0.28888888888888886 0.7931034482758621 0.0 0.0 0.0
experimenting	0.1333333333333333 0.0 0.0 0.0 0.0
errors	0.8444444444444444 0.1724137931034483 0.0 0.0 0.25
base	0.6222222222222222 0.5172413793103448 0.0 0.0 0.0
